Knowledge,Platform,Framework,ProgrammingLanguage,Tool
AGILE,GOOGLE BIGQUERY,TENSORFLOW,SQL,EXCEL
BUSINESS INTELLIGENCE,DATASTUDIO,PYTORCH,PYTHON,TABLEAU
DATA WAREHOUSE,MICROSTRATEGY,KERAS,R,WORD
BUSINESS PROCESS MODELING NOTATION BPMN 2.0,KUBERNETES,SCIKIT LEARN,JAVA,SAS
RESEARCHING,AWS,SPARK,C,GIT
STATISTICAL,GCP,.NET,C#,UNITY
BUSINESS ANALYSIS,AZURE,.NET CORE,C++,UNREAL ENGINE
SOFTWARE DEVELOPMENT PROCESS,LINUX,REACT NATIVE,T-SQL,MICROSOFT SQL SERVER
DATA VISUALIZATION,REDDGATE,HADOOP,PHP,ORACLE DATABASE
DATA MINING,KAFKA,PANDAS,JAVASCRIPT,MYSQL
MACHINE LEARNING,AIRFLOW,REACT,HTML,SSAS
DATA PROCESSING,GOOGLE CLOUD PLATFORM,LARAVEL,CSS,SSIS
ALGORITHMS,S3,VUE.JS,TYPESCRIPT,SSRS
OOP,HIVE,ANGULARJS,HTML5,
DATABASE,GOOGLE ANALYTICS,JQUERY,CSS3,SQL SERVER
PROCESSING DATA,GOOGLE CLOUD,BOOTSTRAP,SASS,MYSQL
SOFTWARE DEVELOPMENT LIFE-CYCLE,AWS,.NET MVC,JSON,POWER BI
MVP,AZURE,CAKEPHP,GRAPHQL,JENKINS
MVVM,APACHE KAFKA,CI,PHP,MONGODB
VIPER,HEROKU,SYMFONY,JAVA,SQLITE
REST API,ANDROID,SPRING,PYTHON,POSTGRESQL
DESIGN PATTERNS,IOS,SPRING BOOT,SCALA,CASSANDRA
OPTIMIZATION TECHNIQUES,WINDOWS,.NET CORE FRAMEWORK,RUBY,REDIS
DEVOPS,LINUX,ENTITY FRAMEWORK CORE,SQL,GIT
SCRUM,GCP,DJANGO,C#,DOCKER
GAME DEVELOPMENT,GOOGLE CLOUD,COCOA TOUCH,UML,GITHUB
ANDROID DEVELOPMENT,BACULA,RXSWIFT,SWIFT,NODE.JS
IOS DEVELOPMENT,BACULA SERVER,RXJAVA,KOTLIN,GITHUB
UI,GOOGLE PLAY,RXANDROID,OBJECTIVE-C,HBASE
OBJECT-ORIENTED PROGRAMMING,SQUARESPACE,FLUTTER,DART,DGRAPH
DATABASE;,WORDPRESS,RUBY ON RAILS,HTML,POSTMAN
DBMS,INSTAGRAM API,GETX,BASH,ELASTICSEARCH
SQL TUNING,NODEJS,BOOTSTRAP,GOLANG,KUBERNETES
DATA MODELING,WEB APPLICATION,JUNIT,NODE.JS,ORACLE
DATABASE DESIGN,PINTEREST,TESTNG,JAVASCRIPT,APACHE SPARK
BACKUP,WORDPRESS CMS,EJS,CSS,XCODE
RECOVERY,PRINTFUL,RUBY ON RAILS,HTML5,ANDROID STUDIO
SECURITY,BLUEHOST,JQUERY,XML,ADOBE XD
RELATIONAL DATABASE,WEB DEVELOPMENT,BOOTSTRAP,VBSCRIPTING,SQLSERVER
PERFOMANCE TUNING,PARSE SDK,SELENIUM WEBDRIVER,RUBY,SELENIUM
DATA INTEGRATIONS,GITHUB,SELENIUM,MYSQL,APPIUM
DATA ANALYSIS,CHROME,WEBDRIVER,EXTENSIBLE MARKUP LANGUAGE,TRELLO
DATA VISUALIZATIONS,CREATIVEMARKET,SELENIUM RC,CSS3,JIRA
ETL/ELT DESIGN,THEMEFOREST,MVC PATTERN,ANGULARJS,CUCUMBER
BIG DATA,MOJOTHEMES,TESTNG,CASCADING STYLE SHEETS,FIGMA
REPORTING,WRAPBOOTSTRAP,ASP.NET,JS,SKETCH
DATA VISUALIZATION,CROWD SOURCING,NET CORE,OBJECTIVE-C,ADOBE PHOTOSHOP
STATISTIC,FIREFOXDRIVER,ENTITY FRAMEWORK CORE,COFFEESCRIPT,ADOBE INDESIGN
BI,CHROMEDRIVER,ASP .NET MVC 5,TRELLO,ADOBE ILLUSTRATOR
AGILE,INTERNETEXPLORERDRIVER,ASP.NET MVC,GHERKIN,CISCO
SCRUM,SAFARIDRIVER,ASP.NET MVC5,LOG4J,JUNIPER
KAIZEN,GOOGLE WEB FONTS,ASP .NET CORE 2.0 MVC,GROOVY,ZABBIX
OBJECT-ORIENTED PROGRAMMING (OOP),JOOMLA,EF CORE 2.0,FLUTTER,DOCKER
MICROSERVICES,MAGNETO,.NET CORE 2.0,XAMARIN,REDIS
SINGLE PAGE APPLICATION,MICROSOFT ADCENTER ANALYTICS,NET CORE 2.0,WPF,NGINX
MVC,KLOUT,EF CORE,MONGODB,GITHUB
MVP,ZK,BOOTSTRAP3,AWS ECS,GITLAB
MVVM,APACHE,EF,AWS ELASTIC CONTAINER SERVICE,GRAFANA
RESTFUL API,FIREBASE,ASP.NET CORE,AWS LAMBDA,PROMETHEUS
WEB MARKUP,GOOGLE DRIVE,ENTITY FRAMEWORK,REST API,LOGSTASH
RESPONSIVE WEB,WEEBLY,BOOTSTRAP4,AWS,KIBANA
USER EXPERIENCE (UX),TUMBLR,ZK,GITHUB,CRON JOB
UX DESIGN,NODE.JS,ANGULAR FORMS,DOCKER,CRONJOB
DESIGN THINKING,GOOGLE CHROME,NGMOCK,AZURE,LINUX
RESTFUL API,ANDROID SDK,ANGULARJS,KUBERNETES,ANDROID
